holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,traffic_1,traffic_2,weather_1,weather_2,year
0,288.28,0.0,0.0,40,0,0,5545,2,4,0,1,2012
0,289.36,0.0,0.0,75,0,1,4516,1,3,0,1,2012
0,289.58,0.0,0.0,90,0,2,4767,1,3,0,1,2012
0,290.13,0.0,0.0,90,0,2,5026,2,4,0,1,2012
0,291.14,0.0,0.0,75,0,1,4918,2,4,0,1,2012
0,291.72,0.0,0.0,1,1,3,5181,2,4,0,0,2012
0,293.17,0.0,0.0,1,1,3,5584,2,4,0,0,2012
0,293.86,0.0,0.0,1,1,3,6015,2,5,0,0,2012
0,294.14,0.0,0.0,20,0,4,5791,2,4,0,1,2012
0,293.1,0.0,0.0,20,0,4,4770,1,3,0,1,2012
0,290.97,0.0,0.0,20,0,4,3539,1,3,0,1,2012
0,289.38,0.0,0.0,1,1,3,2784,1,2,0,0,2012
0,288.61,0.0,0.0,1,1,3,2361,1,2,0,0,2012
0,287.16,0.0,0.0,1,1,3,1529,1,2,0,0,2012
0,285.45,0.0,0.0,1,1,3,963,0,1,0,0,2012
0,284.63,0.0,0.0,1,1,3,506,0,0,0,0,2012
0,283.47,0.0,0.0,1,1,3,321,0,0,0,0,2012
0,281.18,0.0,0.0,1,1,3,273,0,0,0,0,2012
0,281.09,0.0,0.0,1,1,3,367,0,0,0,0,2012
0,279.53,0.0,0.0,1,1,3,814,0,1,0,0,2012
0,278.62,0.0,0.0,1,1,3,2718,1,2,0,0,2012
0,278.23,0.0,0.0,1,1,3,5673,2,4,0,0,2012
0,278.12,0.0,0.0,1,1,3,6511,2,5,0,0,2012
0,282.48,0.0,0.0,1,1,3,5471,2,4,0,0,2012
0,291.97,0.0,0.0,1,1,3,5097,2,4,0,0,2012
0,293.23,0.0,0.0,1,1,3,4887,1,3,0,0,2012
0,294.31,0.0,0.0,1,1,3,5337,2,4,0,0,2012
0,295.17,0.0,0.0,1,1,3,5692,2,4,0,0,2012
0,295.13,0.0,0.0,1,1,3,6137,2,5,0,0,2012
0,293.66,0.0,0.0,20,0,4,4623,1,3,0,1,2012
0,290.65,0.0,0.0,20,0,4,3591,1,3,0,1,2012
0,288.19,0.0,0.0,20,0,4,2898,1,2,0,1,2012
